cr_id,abuse_ct,age_off_comp,civil_ct,complaint_date,corrupt_ct,num_awards,num_coindicated,num_complaints,numwitnesses,operations_ct,substance_ct,time_on_force,discipline,not_operations,injury,administrator,copa_style,search,reform,officer_filed_False,officer_filed_True,officer_filed_Unknown,officer_gender_FEMALE,officer_gender_MALE,officer_race_ASIAN/PACIFIC ISLANDER,officer_race_BLACK,officer_race_HISPANIC,officer_race_NATIVE AMERICAN/ALASKAN NATIVE,officer_race_WHITE
285179,9.0,11617,7.0,2002-10-22,0.0,22.0,5,22.0,0.0,6.0,0.0,2178.0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
290207,2.0,20622,3.0,2003-06-18,0.0,5.0,3,11.0,0.0,6.0,0.0,3334.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1008648,11.0,13748,0.0,2007-08-23,0.0,21.0,1,13.0,5.0,2.0,0.0,1578.0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
1003431,6.0,13558,8.0,2007-02-15,4.0,24.0,1,23.0,2.0,5.0,0.0,4832.0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
269035,4.0,9886,11.0,2001-02-07,0.0,160.0,1,17.0,0.0,2.0,0.0,136.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
306367,13.0,13683,6.0,2005-06-18,0.0,43.0,1,23.0,0.0,4.0,0.0,3938.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
312002,4.0,14682,5.0,2006-03-29,0.0,52.0,2,12.0,0.0,3.0,0.0,1198.0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
295424,3.0,10618,5.0,2004-01-27,2.0,52.0,2,21.0,0.0,11.0,0.0,1464.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
293524,9.0,12345,12.0,2003-11-03,2.0,36.0,1,33.0,0.0,9.0,0.0,4309.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
270197,1.0,15041,3.0,2001-03-29,0.0,25.0,3,9.0,0.0,5.0,0.0,1282.0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
277930,29.0,13905,43.0,2002-01-26,2.0,56.0,3,91.0,0.0,17.0,0.0,2826.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1030437,9.0,15607,2.0,2009-09-24,0.0,54.0,3,17.0,2.0,6.0,0.0,6968.0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1
278269,7.0,12460,0.0,2002-02-11,1.0,30.0,2,15.0,0.0,7.0,0.0,1400.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1068482,7.0,12881,5.0,2014-04-08,0.0,159.0,1,14.0,3.0,2.0,0.0,2171.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
301988,0.0,13102,0.0,2004-11-15,0.0,13.0,2,2.0,0.0,2.0,0.0,630.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
291005,5.0,11510,10.0,2003-07-22,2.0,91.0,1,22.0,0.0,5.0,0.0,3140.0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1059514,5.0,17179,0.0,2013-01-14,0.0,41.0,1,9.0,2.0,4.0,0.0,6971.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
301471,7.0,14538,0.0,2004-10-22,4.0,5.0,1,30.0,0.0,19.0,0.0,6646.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1077149,4.0,17423,5.0,2015-09-14,2.0,100.0,1,16.0,5.0,4.0,0.0,6706.0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
1012986,7.0,13877,5.0,2007-12-30,3.0,42.0,3,24.0,6.0,7.0,1.0,4926.0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
1068432,10.0,15801,2.0,2014-04-06,8.0,48.0,1,34.0,5.0,14.0,0.0,5256.0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0
278254,4.0,17572,1.0,2002-02-10,4.0,3.0,1,24.0,0.0,15.0,0.0,5599.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
270700,10.0,18735,1.0,2001-04-18,0.0,6.0,1,16.0,0.0,5.0,0.0,10257.0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1043571,10.0,16108,9.0,2011-02-25,5.0,15.0,1,63.0,2.0,39.0,0.0,7341.0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
279391,9.0,15793,9.0,2002-03-29,1.0,51.0,2,27.0,0.0,8.0,0.0,3770.0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
275898,35.0,15277,9.0,2001-10-30,4.0,7.0,3,56.0,0.0,8.0,0.0,5586.0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
306623,2.0,18442,5.0,2005-06-29,2.0,5.0,1,17.0,0.0,8.0,0.0,4237.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1033369,8.0,11693,1.0,2010-01-22,1.0,32.0,1,13.0,2.0,3.0,0.0,2326.0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
291366,1.0,10808,1.0,2003-08-05,0.0,14.0,4,8.0,0.0,6.0,0.0,1058.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
269507,2.0,18685,0.0,2001-02-28,6.0,5.0,6,12.0,0.0,4.0,0.0,9990.0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
282852,0.0,8977,0.0,2002-07-31,0.0,41.0,1,3.0,0.0,3.0,0.0,541.0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
294870,14.0,16802,5.0,2004-01-02,0.0,23.0,2,34.0,0.0,15.0,0.0,5030.0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
